2.35,2.5,2.52
2.36,2.5,2.51
2.36,2.49,2.52
2.36,2.49,2.54
2.35,2.5,2.54
2.36,2.49,2.56
2.35,2.5,2.56
2.36,2.49,2.58
2.35,2.5,2.58
2.36,2.5,2.59
2.35,2.52,2.5
2.36,2.52,2.49
2.36,2.51,2.5
2.35,2.52,2.52
2.35,2.52,2.54
2.35,2.52,2.56
2.35,2.52,2.58
2.36,2.51,2.6
2.35,2.52,2.6
2.36,2.52,2.61
2.35,2.54,2.5
2.36,2.54,2.49
2.35,2.54,2.52
2.35,2.54,2.54
2.35,2.54,2.56
2.35,2.54,2.58
2.35,2.54,2.6
2.36,2.54,2.61
2.35,2.56,2.5
2.36,2.56,2.49
2.35,2.56,2.52
2.35,2.56,2.54
2.35,2.56,2.56
2.35,2.56,2.58
2.35,2.56,2.6
2.36,2.56,2.61
2.35,2.58,2.5
2.36,2.58,2.49
2.35,2.58,2.52
2.35,2.58,2.54
2.35,2.58,2.56
2.35,2.58,2.58
2.35,2.58,2.6
2.36,2.58,2.61
2.36,2.59,2.5
2.35,2.6,2.52
2.36,2.6,2.51
2.35,2.6,2.54
2.35,2.6,2.56
2.35,2.6,2.58
2.36,2.6,2.59
2.36,2.59,2.6
2.36,2.61,2.52
2.36,2.61,2.54
2.36,2.61,2.56
2.36,2.61,2.58
2.37,2.46,2.5
2.38,2.46,2.49
2.38,2.45,2.5
2.38,2.45,2.52
2.37,2.46,2.52
2.38,2.45,2.54
2.37,2.46,2.54
2.38,2.45,2.56
2.37,2.46,2.56
2.38,2.45,2.58
2.37,2.46,2.58
2.38,2.45,2.6
2.37,2.46,2.6
2.38,2.46,2.61
2.37,2.48,2.48
2.38,2.48,2.47
2.38,2.47,2.48
2.37,2.48,2.5
2.37,2.48,2.52
2.37,2.48,2.54
2.37,2.48,2.56
2.37,2.48,2.58
2.37,2.48,2.6
2.38,2.47,2.62
2.37,2.48,2.62
2.38,2.48,2.63
2.37,2.5,2.46
2.38,2.5,2.45
2.38,2.49,2.46
2.37,2.5,2.48
2.37,2.5,2.5
2.37,2.5,2.6
2.37,2.5,2.62
2.38,2.49,2.64
2.37,2.5,2.64
2.38,2.5,2.65
2.37,2.52,2.46
2.38,2.52,2.45
2.37,2.52,2.48
2.37,2.52,2.62
2.37,2.52,2.64
2.38,2.52,2.65
2.37,2.54,2.46
2.38,2.54,2.45
2.37,2.54,2.48
2.37,2.54,2.62
2.37,2.54,2.64
2.38,2.54,2.65
2.37,2.56,2.46
2.38,2.56,2.45
2.37,2.56,2.48
2.37,2.56,2.62
2.37,2.56,2.64
2.38,2.56,2.65
2.37,2.58,2.46
2.38,2.58,2.45
2.37,2.58,2.48
2.37,2.58,2.62
2.37,2.58,2.64
2.38,2.58,2.65
2.37,2.6,2.46
2.38,2.6,2.45
2.37,2.6,2.48
2.37,2.6,2.5
2.37,2.6,2.6
2.37,2.6,2.62
2.37,2.6,2.64
2.38,2.6,2.65
2.38,2.61,2.46
2.37,2.62,2.48
2.38,2.62,2.47
2.37,2.62,2.5
2.37,2.62,2.52
2.37,2.62,2.54
2.37,2.62,2.56
2.37,2.62,2.58
2.37,2.62,2.6
2.37,2.62,2.62
2.38,2.62,2.63
2.38,2.61,2.64
2.38,2.63,2.48
2.37,2.64,2.5
2.38,2.64,2.49
2.37,2.64,2.52
2.37,2.64,2.54
2.37,2.64,2.56
2.37,2.64,2.58
2.37,2.64,2.6
2.38,2.64,2.61
2.38,2.63,2.62
2.38,2.65,2.5
2.38,2.65,2.52
2.38,2.65,2.54
2.38,2.65,2.56
2.38,2.65,2.58
2.38,2.65,2.6
2.39,2.42,2.54
2.4,2.42,2.53
2.4,2.41,2.54
2.4,2.41,2.56
2.39,2.42,2.56
2.4,2.42,2.57
2.39,2.44,2.48
2.4,2.44,2.47
2.4,2.43,2.48
2.4,2.43,2.5
2.39,2.44,2.5
2.4,2.43,2.52
2.39,2.44,2.52
2.39,2.44,2.54
2.39,2.44,2.56
2.4,2.43,2.58
2.39,2.44,2.58
2.4,2.43,2.6
2.39,2.44,2.6
2.4,2.43,2.62
2.39,2.44,2.62
2.4,2.44,2.63
2.39,2.46,2.46
2.4,2.46,2.45
2.4,2.45,2.46
2.39,2.46,2.48
2.39,2.46,2.62
2.4,2.45,2.64
